motif,N,K,n,x,p
BGGG,1000,510,92,69,7.185355680352308e-07
BBBGGG,1000,510,39,33,8.653273511393364e-06
DDDDD,1000,510,202,164,4.153484894328755e-23
FDDDDDDD,1000,510,53,51,1.2771959624471516e-13
GGEEE,1000,510,117,83,2.6238946595887753e-06
DDDD,1000,510,214,176,1.801032217371563e-26
OOAA,1000,510,74,52,0.0003803316222410839
ABBE,1000,510,12,12,0.0002903928952827941
GGGG,1000,510,184,140,1.3375191538649298e-14
DDDEE,1000,510,56,42,0.00014118663352546168
FFFD,1000,510,53,48,3.341407304658477e-10
BBCC,1000,510,25,24,9.535807420639364e-07
CCCB,1000,510,14,14,7.370511378674939e-05
DDEE,1000,510,63,47,6.839617754009053e-05
EEEB,1000,510,34,29,2.3709682111117836e-05
EEEG,1000,510,140,96,4.509957751264261e-06
GGGGG,1000,510,137,108,5.573173744239692e-13
BCCCC,1000,510,11,11,0.0005755482433554779
DDEEE,1000,510,54,40,0.0003273589640816533
GBBAAAA,1000,510,39,31,0.00018181156255027542
EGBB,1000,510,24,20,0.0009474938805150814
FFDDDD,1000,510,54,51,1.2069322401506917e-12
EEGBB,1000,510,21,19,0.00013596166183328694
EBBB,1000,510,17,16,0.00016708665009705035
AAAA,1000,510,417,342,2.1668056955762513e-65
DDDEEE,1000,510,49,36,0.0008700072936595791
OAAA,1000,510,71,52,6.392985694239946e-05
EEGG,1000,510,100,67,0.0004898628990514042
CCCCCCC,1000,510,22,20,7.46396352729569e-05
BGGB,1000,510,18,16,0.0007948075406914362
EEEF,1000,510,29,28,6.748902647354796e-08
EEBBB,1000,510,17,16,0.00016708665009705035
EEFF,1000,510,26,24,6.473668720562614e-06
BBGGG,1000,510,67,51,1.1983348094137814e-05
EAAA,1000,510,50,43,1.1419139162199549e-07
AAAEE,1000,510,67,52,3.4485936290477913e-06
AAAB,1000,510,266,219,8.885732392747046e-35
BBBGGGG,1000,510,28,24,0.00011142336902521556
GGGGGE,1000,510,50,40,1.4083177519504732e-05
DEEE,1000,510,57,43,9.183331440151657e-05
AAAAA,1000,510,365,300,1.8115456118990826e-53
BBBG,1000,510,78,66,1.1669102635953209e-10
GGGGEE,1000,510,63,48,2.141232080847491e-05
FFCCC,1000,510,13,13,0.00014637212737937474
EEFFF,1000,510,23,21,4.077457745570619e-05
FCCC,1000,510,16,16,1.8632509484995663e-05
GAAA,1000,510,41,35,2.9018074134633846e-06
EDDDD,1000,510,110,88,2.964239043764081e-11
ABBA,1000,510,29,24,0.00033816793249295037
DDDE,1000,510,65,51,2.389925692487207e-06
BCCC,1000,510,18,18,4.69133669226067e-06
CCCCC,1000,510,32,30,1.477315323128173e-07
FFFFDDDD,1000,510,30,29,3.461628297764976e-08
OOOG,1000,510,65,49,2.8952606456735043e-05
GGGF,1000,510,23,21,4.077457745570619e-05
GGGGE,1000,510,70,53,1.0430668750567193e-05
