motif,N,K,n,x,p
DDDDDDD,1000,510,241,156,6.207990059718247e-07
CCCCC,1000,510,60,48,1.7309628207641455e-06
CCCCCCCCCCC,1000,510,24,23,1.8377016092550516e-06
CCCCCCCC,1000,510,38,33,2.555131175834783e-06
CCCCCCCCCC,1000,510,28,26,1.8612029881427345e-06
CCCCCCCCCCCC,1000,510,20,19,2.4656917878416264e-05
CCCCCCC,1000,510,46,38,5.455648286111144e-06
DDDDD,1000,510,306,188,7.455327852368056e-06
CCCCCCCCC,1000,510,32,28,1.1861214318806082e-05
CCCCCCCCCCCCC,1000,510,20,19,2.4656917878416264e-05
