motif,N,K,n,x,p
EGG,1000,511,112,92,5.128042611332459e-13
BBBG,1000,511,64,54,1.0046434106769772e-08
GGG,1000,511,222,167,9.228203719257763e-17
GGEE,1000,511,124,97,3.2626886658389265e-11
EDDD,1000,511,76,55,7.275618189318718e-05
DDEEE,1000,511,39,31,0.00019062660914649738
EEEG,1000,511,119,93,1.0246432307568905e-10
EGGG,1000,511,83,67,5.733400947922207e-09
GGGE,1000,511,109,85,9.763162446003286e-10
EEG,1000,511,134,105,3.192243645160513e-12
BBA,1000,511,127,92,1.4096486168695382e-07
BBBBG,1000,511,39,32,4.532051848191142e-05
EEEE,1000,511,348,248,3.822761458563584e-21
GGE,1000,511,132,105,5.025867461269544e-13
AABBB,1000,511,74,56,6.292284751233562e-06
EGGGG,1000,511,51,41,9.173766063480654e-06
NNNN,1000,511,210,136,5.283559740488929e-06
EEEGGG,1000,511,60,50,8.854923763510834e-08
BAAA,1000,511,136,99,2.6507795049998054e-08
AAABBB,1000,511,66,50,2.0061645337041153e-05
AAB,1000,511,198,148,3.387104506831681e-14
GOO,1000,511,62,46,0.0001109837990756723
GEEE,1000,511,159,123,1.3320250438747377e-13
GGGG,1000,511,165,123,1.6583207556924388e-11
GGBB,1000,511,55,45,1.2229274057902518e-06
EEE,1000,511,377,265,1.2628369282882014e-21
NNM,1000,511,69,50,0.000152552705980815
GBBB,1000,511,53,40,0.000172410070717955
ABBB,1000,511,85,66,1.4094061748641765e-07
GGGGG,1000,511,114,85,4.9880533592084165e-08
NNN,1000,511,221,142,5.922477854305525e-06
LLL,1000,511,43,38,1.5220917653145487e-07
NNNM,1000,511,63,46,0.0002137637134162828
EEGGG,1000,511,66,56,3.306365258026602e-09
EEEDDD,1000,511,66,47,0.0004839535686324318
LLLL,1000,511,31,26,0.0001242433954769812
MMLL,1000,511,31,25,0.000565749065004929
EEGG,1000,511,93,80,1.3399841611837338e-13
GOOO,1000,511,61,45,0.00016770983099016174
AABGG,1000,511,18,17,9.15039306174042e-05
NNNNN,1000,511,201,129,2.1192999045747175e-05
MMNN,1000,511,69,53,5.248110284299903e-06
DEE,1000,511,54,42,3.274104298941429e-05
EEEEGGG,1000,511,53,44,7.256681147671068e-07
BGGG,1000,511,73,56,2.9364884686741373e-06
BBBBB,1000,511,58,45,1.857527277800479e-05
EEEEGG,1000,511,71,61,1.9297973070523033e-10
BBB,1000,511,147,115,2.56294118488185e-13
EEDDD,1000,511,71,50,0.0004875957909948221
KKKL,1000,511,22,20,7.739286911854258e-05
KKJJ,1000,511,28,25,1.7717707592052815e-05
DDD,1000,511,122,83,4.162099493440981e-05
MNNNN,1000,511,67,55,5.284495584387306e-08
